asset_id,asset_name,owner_name,owner_classification,percentage_of_ownership,owner_direct_parent,owner_grouping,operator_name,percentage_of_operation,data_source,url,recency,created_date,original_inventory_sector
5110059,Abu El Gharadiq,APA Corporation,,66.67,APA Corporation,APA Corporation,"",,"","",2018-12-31 00:00:00,2022-10-03 17:16:34.928357,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,APA Corporation,,66.67,APA Corporation,APA Corporation,"",,"","",2019-12-31 00:00:00,2022-10-03 17:16:34.92868,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,APA Corporation,,66.67,APA Corporation,APA Corporation,"",,"","",2020-12-31 00:00:00,2022-10-03 17:16:34.929005,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,APA Corporation,,66.67,APA Corporation,APA Corporation,"",,"","",2021-12-31 00:00:00,2022-10-03 17:16:34.92933,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Khalda Petroleum,,0,APA Corporation and Egypt,APA Corporation,"",,"","",2015-12-31 00:00:00,2022-10-03 17:16:34.927597,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Khalda Petroleum,,0,APA Corporation and Egypt,APA Corporation,"",,"","",2016-12-31 00:00:00,2022-10-03 17:16:34.92792,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Khalda Petroleum,,0,APA Corporation and Egypt,APA Corporation,"",,"","",2017-12-31 00:00:00,2022-10-03 17:16:34.92825,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Khalda Petroleum,,0,APA Corporation and Egypt,APA Corporation,"",,"","",2018-12-31 00:00:00,2022-10-03 17:16:34.928573,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Khalda Petroleum,,0,APA Corporation and Egypt,APA Corporation,"",,"","",2019-12-31 00:00:00,2022-10-03 17:16:34.928895,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Khalda Petroleum,,0,APA Corporation and Egypt,APA Corporation,"",,"","",2020-12-31 00:00:00,2022-10-03 17:16:34.929222,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Khalda Petroleum,,0,APA Corporation and Egypt,APA Corporation,"",,"","",2021-12-31 00:00:00,2022-10-03 17:16:34.929544,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Sinopec Group,,33.33,Sinopec Group (China),APA Corporation,"",,"","",2015-12-31 00:00:00,2022-10-03 17:16:34.927489,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Sinopec Group,,33.33,Sinopec Group (China),APA Corporation,"",,"","",2016-12-31 00:00:00,2022-10-03 17:16:34.927813,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Sinopec Group,,33.33,Sinopec Group (China),APA Corporation,"",,"","",2017-12-31 00:00:00,2022-10-03 17:16:34.928136,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Sinopec Group,,33.33,Sinopec Group (China),APA Corporation,"",,"","",2018-12-31 00:00:00,2022-10-03 17:16:34.928464,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Sinopec Group,,33.33,Sinopec Group (China),APA Corporation,"",,"","",2019-12-31 00:00:00,2022-10-03 17:16:34.928788,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Sinopec Group,,33.33,Sinopec Group (China),APA Corporation,"",,"","",2020-12-31 00:00:00,2022-10-03 17:16:34.929113,oil-and-gas-production-and-transport
5110059,Abu El Gharadiq,Sinopec Group,,33.33,Sinopec Group (China),APA Corporation,"",,"","",2021-12-31 00:00:00,2022-10-03 17:16:34.929437,oil-and-gas-production-and-transport
5110060,Abu Sa'fah,BAPCO,,50,Nogaholding (Bahrain),Bahrain,"",,"","",2015-12-31 00:00:00,2022-10-03 17:16:34.929652,oil-and-gas-production-and-transport
5110060,Abu Sa'fah,BAPCO,,50,Nogaholding (Bahrain),Bahrain,"",,"","",2016-12-31 00:00:00,2022-10-03 17:16:34.929868,oil-and-gas-production-and-transport
5110060,Abu Sa'fah,BAPCO,,50,Nogaholding (Bahrain),Bahrain,"",,"","",2017-12-31 00:00:00,2022-10-03 17:16:34.930085,oil-and-gas-production-and-transport
5110060,Abu Sa'fah,BAPCO,,50,Nogaholding (Bahrain),Bahrain,"",,"","",2018-12-31 00:00:00,2022-10-03 17:16:34.930341,oil-and-gas-production-and-transport
5110060,Abu Sa'fah,BAPCO,,50,Nogaholding (Bahrain),Bahrain,"",,"","",2019-12-31 00:00:00,2022-10-03 17:16:34.930578,oil-and-gas-production-and-transport
5110060,Abu Sa'fah,BAPCO,,50,Nogaholding (Bahrain),Bahrain,"",,"","",2020-12-31 00:00:00,2022-10-03 17:16:34.930812,oil-and-gas-production-and-transport
5110060,Abu Sa'fah,BAPCO,,50,Nogaholding (Bahrain),Bahrain,"",,"","",2021-12-31 00:00:00,2022-10-03 17:16:34.931028,oil-and-gas-production-and-transport
5110060,Abu Sa'fah,Saudi Aramco,,50,Saudi Aramco (Saudi Arabia),Bahrain,"",,"","",2015-12-31 00:00:00,2022-10-03 17:16:34.92976,oil-and-gas-production-and-transport
5110060,Abu Sa'fah,Saudi Aramco,,50,Saudi Aramco (Saudi Arabia),Bahrain,"",,"","",2016-12-31 00:00:00,2022-10-03 17:16:34.929976,oil-and-gas-production-and-transport
5110060,Abu Sa'fah,Saudi Aramco,,50,Saudi Aramco (Saudi Arabia),Bahrain,"",,"","",2017-12-31 00:00:00,2022-10-03 17:16:34.930218,oil-and-gas-production-and-transport
5110060,Abu Sa'fah,Saudi Aramco,,50,Saudi Aramco (Saudi Arabia),Bahrain,"",,"","",2018-12-31 00:00:00,2022-10-03 17:16:34.930471,oil-and-gas-production-and-transport
