asset_id,asset_name,owner_name,owner_classification,percentage_of_ownership,owner_direct_parent,owner_grouping,operator_name,percentage_of_operation,data_source,url,recency,created_date,original_inventory_sector
5093474,PDVSA Paraguana Refinery Complex,PDVSA,,,PDVSA (Venezuela),PDVSA (Venezuela),"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'http://www.pdvsa.com/index.php?option=com_content&view=article&id=6550&Itemid=903&lang=en', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.982042,oil-and-gas-refining
5093475,PDVSA Puerto La Cruz Refinery,PDVSA,,,PDVSA (Venezuela),PDVSA (Venezuela),"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'http://www.pdvsa.com/index.php?option=com_content&view=article&id=6550&Itemid=903&lang=en', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.9821,oil-and-gas-refining
5093476,PDVSA El Palito Refinery,PDVSA,,,PDVSA (Venezuela),PDVSA (Venezuela),"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'http://www.pdvsa.com/index.php?option=com_content&view=article&id=6550&Itemid=903&lang=en', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.982157,oil-and-gas-refining
5093477,Nghi Son Refinery,Idemitsu Kosan,,,Idemitsu Kosan,Idemitsu Kosan,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://ssl4.eir-parts.net/doc/5019/ir_material11/186115/00.pdf', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.972947,oil-and-gas-refining
5093478,Petrovietnam Dung Quat Refinery,PetroVietnam,,,Petrovietnam (Viet Nam),Petrovietnam (Viet Nam),"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.offshore-technology.com/marketdata/dung-quat-refinery-vietnam/', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.998181,oil-and-gas-refining
5093479,ARC Aden Refinery,Aden Refinery Company,,,Yemen Oil & Gas (Yemen),Yemen Oil & Gas (Yemen),"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://arc-ye.com/ahmaster.aspx?id=15', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.997268,oil-and-gas-refining
5093480,Indeni Petroleum Refinery,Indeni,,,Eni,Eni,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.968137,oil-and-gas-refining
5093481,Motiva Enterprises LLC Port Arthur,Saudi Aramco,,,Saudi Aramco (Saudi Arabia),Saudi Aramco (Saudi Arabia),"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.bloomberg.com/news/articles/2021-01-21/how-much-does-aramco-pollute-missing-emissions-might-double-carbon-footprint?sref=4dbYjOo8', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.989122,oil-and-gas-refining
5093482,Marathon Petroleum Co LP Galveston Bay,Marathon Petroleum Corp,,,Marathon Oil,Marathon Oil,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.marathonpetroleum.com/Operations/Refining/Galveston-Bay-Refinery/', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.976913,oil-and-gas-refining
5093483,Marathon Petroleum Co LP Garyville,Marathon Petroleum Corp,,,Marathon Oil,Marathon Oil,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.marathonpetroleum.com/Operations/Refining/Garyville-Refinery/', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.976988,oil-and-gas-refining
5093484,Exxonmobil Refining & Supply Co Baytown,ExxonMobil,,,ExxonMobil,ExxonMobil,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://corporate.exxonmobil.com/-/media/Global/Files/investor-relations/annual-meeting-materials/annual-report-summaries/2021-Annual-Report.pdf', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.96993,oil-and-gas-refining
5093485,Exxonmobil Refining & Supply Co Baton Rouge,ExxonMobil,,,ExxonMobil,ExxonMobil,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://corporate.exxonmobil.com/-/media/Global/Files/investor-relations/annual-meeting-materials/annual-report-summaries/2021-Annual-Report.pdf', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.970017,oil-and-gas-refining
5093486,BP Products North America Inc Whiting,BP PLC,,,BP,BP,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/investors/bp-annual-report-and-form-20f-2021.pdf', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.957121,oil-and-gas-refining
5093487,Citgo Petroleum Corp Lake Charles,PDV America Inc,,,PDVSA (Venezuela),PDVSA (Venezuela),"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.982211,oil-and-gas-refining
5093488,Exxonmobil Refining & Supply Co Beaumont,ExxonMobil,,,ExxonMobil,ExxonMobil,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://corporate.exxonmobil.com/-/media/Global/Files/investor-relations/annual-meeting-materials/annual-report-summaries/2021-Annual-Report.pdf', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.970104,oil-and-gas-refining
5093489,Tesoro Refining & Marketing Co Carson,Marathon Petroleum Corp,,,Marathon Oil,Marathon Oil,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.marathonpetroleum.com/Operations/Refining/Los-Angeles-Refinery/', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.977159,oil-and-gas-refining
5093490,Chevron USA Inc Pascagoula,Chevron Corp,,,Chevron,Chevron,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.959962,oil-and-gas-refining
5093491,WRB Refining LP Wood River,WRB Refining LP,,,Cenovus,Cenovus,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.958213,oil-and-gas-refining
5093492,Flint Hills Resources LP Saint Paul,Koch Industries Inc,,,Koch Industries,Koch Industries,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.975587,oil-and-gas-refining
5093493,Premcor Refining Group Inc Port Arthur,Valero Energy Corp,,,Valero,Valero,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.valero.com/about/locations/port-arthur-refinery', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.995836,oil-and-gas-refining
5093494,Deer Park Refining Ltd Partnership Deer Park,Deer Park Refining Ltd Partnership,,,Shell,Shell,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.990077,oil-and-gas-refining
5093495,Marathon Petroleum Co LP Catlettsburg,Marathon Petroleum Corp,,,Marathon Oil,Marathon Oil,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.marathonpetroleum.com/Operations/Refining/Catlettsburg-Refinery/', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.97724,oil-and-gas-refining
5093496,Valero Refining Co Texas LP Corpus Christi,Valero Energy Corp,,,Valero,Valero,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.valero.com/about/locations/bill-greehey-refinery', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.995908,oil-and-gas-refining
5093497,Chevron USA Inc El Segundo,Chevron Corp,,,Chevron,Chevron,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.960074,oil-and-gas-refining
5093498,"Flint Hills Resources LP Corpus Christi, West",Koch Industries Inc,,,Koch Industries,Koch Industries,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.975654,oil-and-gas-refining
5093499,Phillips 66 Company Sweeny,Phillips 66 Company,,,ConocoPhillips,ConocoPhillips,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.963463,oil-and-gas-refining
5093500,Phillips 66 Company Westlake,Phillips 66 Company,,,ConocoPhillips,ConocoPhillips,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.963675,oil-and-gas-refining
5093501,Houston Refining LP Houston,Access Industries,,,Access Industries,Access Industries,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.954121,oil-and-gas-refining
5093502,Phillips 66 Company Linden,Phillips 66 Company,,,ConocoPhillips,ConocoPhillips,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.9638,oil-and-gas-refining
5093503,Marathon Petroleum Co LP Robinson,Marathon Petroleum Corp,,,Marathon Oil,Marathon Oil,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.marathonpetroleum.com/Operations/Refining/Robinson-Refinery/', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.977312,oil-and-gas-refining
5093504,Exxonmobil Refining & Supply Co Joliet,ExxonMobil,,,ExxonMobil,ExxonMobil,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://corporate.exxonmobil.com/-/media/Global/Files/investor-relations/annual-meeting-materials/annual-report-summaries/2021-Annual-Report.pdf', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.970191,oil-and-gas-refining
5093505,Chevron USA Inc Richmond,Chevron Corp,,,Chevron,Chevron,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.960188,oil-and-gas-refining
5093506,BP Products North America Inc Ferndale,BP,,,BP,BP,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.bp.com', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.957238,oil-and-gas-refining
5093507,TotalEnergies Petrochemicals & Refining USA Port Arthur,TotalEnergies,,,TotalEnergies,TotalEnergies,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.99505,oil-and-gas-refining
5093508,Shell Oil Products US Norco,Shell PLC,,,Shell,Shell,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.990132,oil-and-gas-refining
5093509,Valero Refining Co Texas LP Texas City,Valero Energy Corp,,,Valero,Valero,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.valero.com/about/locations/texas-city-refinery', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.995993,oil-and-gas-refining
5093510,Valero Refining New Orleans LLC Norco,Valero Energy Corp,,,Valero,Valero,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.valero.com/about/locations/st-charles-refinery', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.996059,oil-and-gas-refining
5093511,Phillips 66 Company Ponca City,Phillips 66 Company,,,ConocoPhillips,ConocoPhillips,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.963905,oil-and-gas-refining
5093512,Valero Refining Co Texas LP Houston,Valero Energy Corp,,,Valero,Valero,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.valero.com/about/locations?location_type_id=1', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.996162,oil-and-gas-refining
5093513,Diamond Shamrock Refining Co LP Sunray,Valero Energy Corp,,,Valero,Valero,"",,"","{'asset_name': nan, 'asset_id': nan, 'location': nan, 'owner_name': 'https://www.puc.texas.gov/industry/electric/directories/sgen/report_sgen.aspx?ID=PGSQL01DB1245527300003', 'owner_classification': nan, 'percentage_of_ownership': nan, 'owner_grouping': nan, 'operator_name': nan, 'percentage_of_operation': nan, 'operator_grouping': nan}",2022-09-27 00:00:00,2022-09-28 14:18:09.996218,oil-and-gas-refining
5093514,Monroe Energy LLC Trainer,Delta Air Lines Inc,,,Delta Air,Delta Air,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.96553,oil-and-gas-refining
5093515,Chalmette Refining LLC Chalmette,PBF Energy Co LLC,,,PBF Energy,PBF Energy,"",,"","",2022-09-27 00:00:00,2022-09-28 14:18:09.981632,oil-and-gas-refining
